,0,1
0,LG,100
1,LG,100
2,LG,-1
3,LG,100
4,LG,88
5,LG,100
6,LG,50
7,LG,0
8,LG,-1
9,LG,-1
10,LG,5
11,LG,95
12,LG,100
13,LG,100
14,LG,99
15,LG,100
16,LG,2
17,LG,100
18,LG,0
19,LG,100
20,LG,100
21,LG,100
22,LG,10
23,LG,95
24,LG,100
25,LG,1
26,LG,99
27,LG,100
28,LG,-1
29,LG,19
30,LG,-1
31,LG,100
32,LG,100
33,LG,90
34,LG,-1
35,LG,100
36,LG,97
37,LG,100
38,LG,97
39,LG,100
40,LG,-1
41,LG,100
42,LG,84
43,LG,-1
44,LG,100
45,LG,-1
46,LG,100
47,LG,98
48,LG,-1
49,LG,100
50,LG,-1
51,LG,100
52,LG,8
53,LG,1
54,LG,50
55,LG,98
56,LG,50
57,LG,100
58,LG,8
59,LG,100
60,LG,-1
61,LG,-1
62,LG,98
63,LG,1
64,LG,100
65,LG,100
66,LG,100
67,LG,50
68,LG,87
69,LG,100
70,LG,100
71,LG,98
72,LG,-1
73,LG,-1
74,LG,100
75,LG,1
76,LG,-1
77,LG,100
78,LG,100
79,LG,100
80,LG,100
81,LG,100
82,LG,-1
83,LG,100
84,LG,-1
85,LG,99
86,LG,100
87,LG,-1
88,LG,50
89,LG,50
90,LG,100
91,LG,86
92,LG,1
93,LG,100
94,LG,-1
95,LG,50
96,LG,-1
97,LG,1
98,LG,100
99,LG,16
