,0,1
0,세종텔레콤,100
1,세종텔레콤,100
2,세종텔레콤,92
3,세종텔레콤,-1
4,세종텔레콤,86
5,세종텔레콤,1
6,세종텔레콤,100
7,세종텔레콤,100
8,세종텔레콤,100
9,세종텔레콤,100
10,세종텔레콤,100
11,세종텔레콤,100
12,세종텔레콤,100
13,세종텔레콤,100
14,세종텔레콤,100
15,세종텔레콤,95
16,세종텔레콤,-1
17,세종텔레콤,-1
18,세종텔레콤,100
19,세종텔레콤,100
20,세종텔레콤,100
21,세종텔레콤,100
22,세종텔레콤,100
23,세종텔레콤,100
24,세종텔레콤,100
25,세종텔레콤,100
26,세종텔레콤,100
27,세종텔레콤,50
28,세종텔레콤,50
29,세종텔레콤,97
30,세종텔레콤,100
31,세종텔레콤,-1
32,세종텔레콤,98
33,세종텔레콤,98
34,세종텔레콤,50
35,세종텔레콤,100
36,세종텔레콤,98
37,세종텔레콤,100
38,세종텔레콤,99
39,세종텔레콤,-1
