,0,1
0,아프리카티비,-1
1,아프리카티비,100
2,아프리카티비,-1
3,아프리카티비,100
4,아프리카티비,-1
5,아프리카티비,100
6,아프리카티비,-1
7,아프리카티비,100
8,아프리카티비,2
9,아프리카티비,69
10,아프리카티비,2
11,아프리카티비,-1
12,아프리카티비,100
13,아프리카티비,100
14,아프리카티비,-1
15,아프리카티비,100
16,아프리카티비,-1
17,아프리카티비,-1
18,아프리카티비,100
19,아프리카티비,2
20,아프리카티비,100
21,아프리카티비,100
22,아프리카티비,-1
23,아프리카티비,-1
24,아프리카티비,100
25,아프리카티비,2
26,아프리카티비,-1
27,아프리카티비,2
28,아프리카티비,100
29,아프리카티비,100
30,아프리카티비,-1
31,아프리카티비,100
32,아프리카티비,100
33,아프리카티비,-1
34,아프리카티비,-1
35,아프리카티비,100
36,아프리카티비,-1
37,아프리카티비,100
38,아프리카티비,2
39,아프리카티비,-1
40,아프리카티비,100
41,아프리카티비,2
42,아프리카티비,-1
43,아프리카티비,-1
44,아프리카티비,100
45,아프리카티비,2
46,아프리카티비,2
47,아프리카티비,100
48,아프리카티비,100
49,아프리카티비,100
50,아프리카티비,100
51,아프리카티비,100
52,아프리카티비,100
53,아프리카티비,-1
54,아프리카티비,-1
55,아프리카티비,-1
56,아프리카티비,99
57,아프리카티비,-1
58,아프리카티비,-1
59,아프리카티비,-1
60,아프리카티비,-1
61,아프리카티비,100
62,아프리카티비,-1
63,아프리카티비,-1
64,아프리카티비,-1
65,아프리카티비,100
66,아프리카티비,-1
67,아프리카티비,-1
68,아프리카티비,-1
69,아프리카티비,100
70,아프리카티비,-1
71,아프리카티비,100
72,아프리카티비,-1
73,아프리카티비,-1
74,아프리카티비,2
75,아프리카티비,-1
76,아프리카티비,1
77,아프리카티비,100
78,아프리카티비,-1
79,아프리카티비,100
80,아프리카티비,-1
81,아프리카티비,100
82,아프리카티비,2
83,아프리카티비,-1
84,아프리카티비,100
85,아프리카티비,-1
86,아프리카티비,-1
87,아프리카티비,100
88,아프리카티비,100
89,아프리카티비,-1
90,아프리카티비,-1
91,아프리카티비,100
92,아프리카티비,-1
93,아프리카티비,-1
94,아프리카티비,100
95,아프리카티비,100
96,아프리카티비,100
97,아프리카티비,-1
98,아프리카티비,99
99,아프리카티비,-1
