,0,1
0,액토즈소프트,100
1,액토즈소프트,100
2,액토즈소프트,1
3,액토즈소프트,100
4,액토즈소프트,100
5,액토즈소프트,100
6,액토즈소프트,83
7,액토즈소프트,100
8,액토즈소프트,50
9,액토즈소프트,100
10,액토즈소프트,-1
11,액토즈소프트,-1
12,액토즈소프트,2
13,액토즈소프트,1
14,액토즈소프트,100
15,액토즈소프트,100
16,액토즈소프트,-1
17,액토즈소프트,100
18,액토즈소프트,100
19,액토즈소프트,100
20,액토즈소프트,100
21,액토즈소프트,100
22,액토즈소프트,16
23,액토즈소프트,100
24,액토즈소프트,100
25,액토즈소프트,100
26,액토즈소프트,99
27,액토즈소프트,90
28,액토즈소프트,100
29,액토즈소프트,100
30,액토즈소프트,50
31,액토즈소프트,93
32,액토즈소프트,100
33,액토즈소프트,94
34,액토즈소프트,100
35,액토즈소프트,92
36,액토즈소프트,100
37,액토즈소프트,80
38,액토즈소프트,-1
39,액토즈소프트,100
40,액토즈소프트,100
41,액토즈소프트,100
42,액토즈소프트,100
43,액토즈소프트,99
44,액토즈소프트,100
45,액토즈소프트,100
46,액토즈소프트,-1
47,액토즈소프트,-1
48,액토즈소프트,1
49,액토즈소프트,100
50,액토즈소프트,100
51,액토즈소프트,100
52,액토즈소프트,100
53,액토즈소프트,100
54,액토즈소프트,-1
55,액토즈소프트,100
56,액토즈소프트,100
57,액토즈소프트,100
58,액토즈소프트,93
59,액토즈소프트,100
60,액토즈소프트,24
61,액토즈소프트,100
62,액토즈소프트,100
63,액토즈소프트,100
64,액토즈소프트,100
65,액토즈소프트,-1
66,액토즈소프트,98
67,액토즈소프트,100
68,액토즈소프트,100
69,액토즈소프트,100
70,액토즈소프트,100
71,액토즈소프트,100
72,액토즈소프트,100
73,액토즈소프트,100
74,액토즈소프트,-1
75,액토즈소프트,94
76,액토즈소프트,100
77,액토즈소프트,100
78,액토즈소프트,50
79,액토즈소프트,50
80,액토즈소프트,100
81,액토즈소프트,100
82,액토즈소프트,-1
83,액토즈소프트,100
84,액토즈소프트,100
85,액토즈소프트,100
86,액토즈소프트,100
87,액토즈소프트,100
88,액토즈소프트,100
89,액토즈소프트,100
90,액토즈소프트,100
91,액토즈소프트,100
92,액토즈소프트,100
93,액토즈소프트,100
94,액토즈소프트,99
95,액토즈소프트,100
96,액토즈소프트,100
97,액토즈소프트,20
98,액토즈소프트,100
99,액토즈소프트,51
