,0,1
0,엔씨소프트,100
1,엔씨소프트,100
2,엔씨소프트,100
3,엔씨소프트,100
4,엔씨소프트,100
5,엔씨소프트,97
6,엔씨소프트,4
7,엔씨소프트,100
8,엔씨소프트,100
9,엔씨소프트,100
10,엔씨소프트,100
11,엔씨소프트,93
12,엔씨소프트,100
13,엔씨소프트,96
14,엔씨소프트,100
15,엔씨소프트,1
16,엔씨소프트,100
17,엔씨소프트,100
18,엔씨소프트,100
19,엔씨소프트,98
20,엔씨소프트,100
21,엔씨소프트,10
22,엔씨소프트,50
23,엔씨소프트,100
24,엔씨소프트,100
25,엔씨소프트,100
26,엔씨소프트,-1
27,엔씨소프트,100
28,엔씨소프트,98
29,엔씨소프트,100
30,엔씨소프트,100
31,엔씨소프트,100
32,엔씨소프트,100
33,엔씨소프트,50
34,엔씨소프트,99
35,엔씨소프트,-1
36,엔씨소프트,-1
37,엔씨소프트,100
38,엔씨소프트,100
39,엔씨소프트,100
40,엔씨소프트,100
41,엔씨소프트,100
42,엔씨소프트,99
43,엔씨소프트,100
44,엔씨소프트,100
45,엔씨소프트,100
46,엔씨소프트,100
47,엔씨소프트,-1
48,엔씨소프트,5
49,엔씨소프트,100
50,엔씨소프트,100
51,엔씨소프트,100
52,엔씨소프트,100
53,엔씨소프트,50
54,엔씨소프트,100
55,엔씨소프트,100
56,엔씨소프트,100
57,엔씨소프트,3
58,엔씨소프트,100
59,엔씨소프트,-1
60,엔씨소프트,100
61,엔씨소프트,100
62,엔씨소프트,100
63,엔씨소프트,100
64,엔씨소프트,99
65,엔씨소프트,100
66,엔씨소프트,100
67,엔씨소프트,97
68,엔씨소프트,100
69,엔씨소프트,96
70,엔씨소프트,100
71,엔씨소프트,100
72,엔씨소프트,100
73,엔씨소프트,1
74,엔씨소프트,100
75,엔씨소프트,100
76,엔씨소프트,100
77,엔씨소프트,98
78,엔씨소프트,100
79,엔씨소프트,100
80,엔씨소프트,95
81,엔씨소프트,96
82,엔씨소프트,2
83,엔씨소프트,12
84,엔씨소프트,14
85,엔씨소프트,100
86,엔씨소프트,100
87,엔씨소프트,100
88,엔씨소프트,100
89,엔씨소프트,50
90,엔씨소프트,100
91,엔씨소프트,16
92,엔씨소프트,98
93,엔씨소프트,100
94,엔씨소프트,100
95,엔씨소프트,100
96,엔씨소프트,100
97,엔씨소프트,14
98,엔씨소프트,100
99,엔씨소프트,100
