,0,1
0,한글과컴퓨터,100
1,한글과컴퓨터,80
2,한글과컴퓨터,100
3,한글과컴퓨터,100
4,한글과컴퓨터,100
5,한글과컴퓨터,100
6,한글과컴퓨터,96
7,한글과컴퓨터,-1
8,한글과컴퓨터,100
9,한글과컴퓨터,-1
10,한글과컴퓨터,100
11,한글과컴퓨터,100
12,한글과컴퓨터,100
13,한글과컴퓨터,100
14,한글과컴퓨터,97
15,한글과컴퓨터,100
16,한글과컴퓨터,93
17,한글과컴퓨터,100
18,한글과컴퓨터,100
19,한글과컴퓨터,100
20,한글과컴퓨터,100
21,한글과컴퓨터,100
22,한글과컴퓨터,100
23,한글과컴퓨터,100
24,한글과컴퓨터,100
25,한글과컴퓨터,100
26,한글과컴퓨터,-1
27,한글과컴퓨터,50
28,한글과컴퓨터,100
29,한글과컴퓨터,100
30,한글과컴퓨터,100
31,한글과컴퓨터,100
32,한글과컴퓨터,100
33,한글과컴퓨터,100
34,한글과컴퓨터,50
35,한글과컴퓨터,97
36,한글과컴퓨터,100
37,한글과컴퓨터,100
38,한글과컴퓨터,96
39,한글과컴퓨터,100
40,한글과컴퓨터,100
41,한글과컴퓨터,100
42,한글과컴퓨터,100
43,한글과컴퓨터,100
44,한글과컴퓨터,100
45,한글과컴퓨터,100
46,한글과컴퓨터,100
47,한글과컴퓨터,100
48,한글과컴퓨터,98
49,한글과컴퓨터,100
50,한글과컴퓨터,100
51,한글과컴퓨터,-1
52,한글과컴퓨터,100
53,한글과컴퓨터,100
54,한글과컴퓨터,-1
55,한글과컴퓨터,9
56,한글과컴퓨터,100
57,한글과컴퓨터,100
58,한글과컴퓨터,100
59,한글과컴퓨터,100
60,한글과컴퓨터,100
61,한글과컴퓨터,-1
62,한글과컴퓨터,100
63,한글과컴퓨터,-1
64,한글과컴퓨터,5
65,한글과컴퓨터,4
66,한글과컴퓨터,98
67,한글과컴퓨터,100
68,한글과컴퓨터,100
69,한글과컴퓨터,50
70,한글과컴퓨터,100
71,한글과컴퓨터,50
72,한글과컴퓨터,3
73,한글과컴퓨터,100
74,한글과컴퓨터,100
75,한글과컴퓨터,95
76,한글과컴퓨터,100
77,한글과컴퓨터,100
78,한글과컴퓨터,-1
79,한글과컴퓨터,100
80,한글과컴퓨터,-1
81,한글과컴퓨터,100
82,한글과컴퓨터,100
83,한글과컴퓨터,-1
84,한글과컴퓨터,50
85,한글과컴퓨터,94
86,한글과컴퓨터,100
87,한글과컴퓨터,100
88,한글과컴퓨터,100
89,한글과컴퓨터,-1
90,한글과컴퓨터,100
91,한글과컴퓨터,100
92,한글과컴퓨터,100
