,0,1
0,핸디소프트,98
1,핸디소프트,100
2,핸디소프트,100
3,핸디소프트,100
4,핸디소프트,98
5,핸디소프트,100
6,핸디소프트,97
7,핸디소프트,98
8,핸디소프트,100
9,핸디소프트,97
10,핸디소프트,100
11,핸디소프트,100
12,핸디소프트,4
13,핸디소프트,100
14,핸디소프트,100
15,핸디소프트,82
16,핸디소프트,21
17,핸디소프트,87
18,핸디소프트,100
19,핸디소프트,100
20,핸디소프트,100
21,핸디소프트,100
22,핸디소프트,100
23,핸디소프트,100
24,핸디소프트,100
25,핸디소프트,100
26,핸디소프트,100
27,핸디소프트,50
28,핸디소프트,100
29,핸디소프트,79
30,핸디소프트,6
31,핸디소프트,50
32,핸디소프트,96
33,핸디소프트,100
34,핸디소프트,100
35,핸디소프트,50
36,핸디소프트,100
37,핸디소프트,50
38,핸디소프트,100
39,핸디소프트,100
40,핸디소프트,100
41,핸디소프트,100
