,0
0,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600898690
1,http://www.m-i.kr/news/articleView.html?idxno=279569
2,http://www.asiatoday.co.kr/view.php?key=20161227010018202
3,http://news.donga.com/3/all/20161227/82052954/1
4,http://www.m-i.kr/news/articleView.html?idxno=279102
5,http://www.m-i.kr/news/articleView.html?idxno=278055
6,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600876688
7,http://www.m-i.kr/news/articleView.html?idxno=277248
8,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600871720
9,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600869428
10,http://news.donga.com/3/all/20161213/81816674/1
11,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600860176
12,http://news.mk.co.kr/newsRead.php?no=860093&year=2016
13,http://www.sedaily.com/NewsView/1L57V9SMWX
14,http://www.hankyung.com/news/app/newsview.php?aid=201612128271v
15,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600858892
16,http://www.m-i.kr/news/articleView.html?idxno=275372
17,http://www.asiatoday.co.kr/view.php?key=20161209010005740
18,http://www.m-i.kr/news/articleView.html?idxno=274184
19,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600844806
20,http://www.m-i.kr/news/articleView.html?idxno=273740
21,http://stock.hankyung.com/news/app/newsview.php?aid=2016113072896
22,http://www.m-i.kr/news/articleView.html?idxno=272118
23,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600827487
24,http://news.donga.com/3/all/20161129/81575422/1
25,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600810999
26,http://www.m-i.kr/news/articleView.html?idxno=270191
27,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600794631
28,http://www.m-i.kr/news/articleView.html?idxno=268425
29,http://www.m-i.kr/news/articleView.html?idxno=268010
30,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600785099
31,http://www.m-i.kr/news/articleView.html?idxno=267439
32,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600782005
33,http://www.m-i.kr/news/articleView.html?idxno=267138
34,http://news.mk.co.kr/newsRead.php?no=779491&year=2016
35,http://www.sedaily.com/NewsView/1L3WI3SOWQ
36,http://www.asiatoday.co.kr/view.php?key=20161109010005605
37,http://stock.hankyung.com/news/app/newsview.php?aid=2016110921046
38,http://stock.hankyung.com/news/app/newsview.php?aid=2016110919591
39,http://news.mk.co.kr/newsRead.php?no=778646&year=2016
40,http://www.asiatoday.co.kr/view.php?key=20161108010005330
41,http://www.sedaily.com/NewsView/1L3W3FREHE
42,http://www.asiatoday.co.kr/view.php?key=20161108010005199
43,http://news.heraldcorp.com/view.php?ud=20161108000438
44,http://news.donga.com/3/all/20161108/81220550/1
45,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600777012
46,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600776920
47,http://news.heraldcorp.com/view.php?ud=20161108000186
48,http://www.asiatoday.co.kr/view.php?key=20161108010004755
49,http://www.sedaily.com/NewsView/1L3W2WK023
50,http://www.asiatoday.co.kr/view.php?key=20161108010004729
51,http://stock.hankyung.com/news/app/newsview.php?aid=2016110890996
52,http://www.m-i.kr/news/articleView.html?idxno=266505
53,http://news.heraldcorp.com/view.php?ud=20161108000089
