,0
0,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002452524
1,http://www.segyefn.com/articles/article.asp?aid=20140110020390&cid=0503010000000?OutUrl=naver
2,http://www.hankyung.com/news/app/newsview.php?aid=2014011061506
3,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002449254
4,http://www.hankyung.com/news/app/newsview.php?aid=2014010756526
5,http://www.hankyung.com/news/app/newsview.php?aid=2014010753436
6,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002444152
7,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002442730
8,http://www.hankyung.com/news/app/newsview.php?aid=2013120861741
9,http://www.hankyung.com/news/app/newsview.php?aid=2013112751231
10,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002427141
11,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002423076
12,http://www.hankyung.com/news/app/newsview.php?aid=2013110825301
13,http://news.mk.co.kr/news_forward.php?domain=news&no=1099827&year=2013
14,http://www.hankyung.com/news/app/newsview.php?aid=2013102203976
15,http://news.mk.co.kr/news_forward.php?domain=news&no=1012199&year=2013
