,0
0,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0002637151
1,http://www.hankyung.com/news/app/newsview.php?aid=2015012820226
2,http://www.hankyung.com/news/app/newsview.php?aid=2015010759321
3,http://biz.heraldcorp.com/view.php?ud=20141230000796
4,http://www.hankyung.com/news/app/newsview.php?aid=2014123013456
5,http://news.mk.co.kr/news_forward.php?domain=news&no=1148855&year=2014
6,http://biz.heraldcorp.com/view.php?ud=20140829000495
7,http://www.hankyung.com/news/app/newsview.php?aid=2014082980346
8,http://biz.heraldcorp.com/view.php?ud=20140723000912
9,http://biz.heraldcorp.com/view.php?ud=20140714000898
10,http://www.hankyung.com/news/app/newsview.php?aid=2014071496446
11,http://www.hankyung.com/news/app/newsview.php?aid=2014062627866
