,0
0,http://biz.heraldcorp.com/view.php?ud=20150210000471
1,http://www.hankyung.com/news/app/newsview.php?aid=2015021048256
2,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002638752
3,http://www.hankyung.com/news/app/newsview.php?aid=2015021047076
4,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002623578
5,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002622384
6,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002622362
7,http://news.mk.co.kr/news_forward.php?domain=news&no=10356&year=2015
8,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002604095
9,http://sbscnbc.sbs.co.kr/read.jsp?pmArticleId=10000702856
10,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002589168
11,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002585176
12,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002580962
13,http://news.mk.co.kr/news_forward.php?domain=news&no=1065590&year=2014
14,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002555821
15,http://biz.heraldcorp.com/view.php?ud=20140805000272
16,http://www.hankyung.com/news/app/newsview.php?aid=2014080578706
17,http://www.hankyung.com/news/app/newsview.php?aid=2014080578506
18,http://www.asiatoday.co.kr/view.php?key=20140630010017363
