,0
0,http://www.sedaily.com/NewsView/1ODD95K20B
1,http://www.m-i.kr/news/articleView.html?idxno=295258
2,http://www.m-i.kr/news/articleView.html?idxno=294636
3,http://www.naeil.com/news_view/?id_art=228476
4,http://www.sedaily.com/NewsView/1OC6YVPOD6
5,http://www.asiatoday.co.kr/view.php?key=20170201010000733
6,http://www.m-i.kr/news/articleView.html?idxno=286914
7,http://www.sedaily.com/NewsView/1OBXC984XB
8,http://www.m-i.kr/news/articleView.html?idxno=285617
9,http://www.sedaily.com/NewsView/1OAY01XM9U
10,http://stock.hankyung.com/news/app/newsview.php?aid=2017012473236
11,http://www.sedaily.com/NewsView/1OAW3P980L
12,http://www.hani.co.kr/arti/economy/it/779063.html
13,http://www.asiatoday.co.kr/view.php?key=20170117010010913
14,http://www.sedaily.com/NewsView/1OAUQNMZXE
15,http://www.sedaily.com/NewsView/1OASFM99AF
16,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1002681274
17,http://www.naeil.com/news_view/?id_art=223312
18,http://www.hankyung.com/news/app/newsview.php?aid=201701050162i
19,http://www.m-i.kr/news/articleView.html?idxno=281294
20,http://www.sedaily.com/NewsView/1OAP8CSPOL
21,http://www.asiatoday.co.kr/view.php?key=20170105010003153
22,http://www.sedaily.com/NewsView/1OAP8P25YL
23,http://www.m-i.kr/news/articleView.html?idxno=279530
24,http://www.m-i.kr/news/articleView.html?idxno=274882
25,http://www.sedaily.com/NewsView/1L56HGXP0R
26,http://www.asiatoday.co.kr/view.php?key=20161209010005768
27,http://www.sedaily.com/NewsView/1L55IY6RVZ
28,http://www.m-i.kr/news/articleView.html?idxno=274041
29,http://www.asiatoday.co.kr/view.php?key=20161206010003325
30,http://www.sedaily.com/NewsView/1L552T63G7
31,http://www.naeil.com/news_view/?id_art=215994
32,http://www.m-i.kr/news/articleView.html?idxno=266492
33,http://stock.hankyung.com/news/app/newsview.php?aid=201610058744u
34,http://www.sedaily.com/NewsView/1L1MBR454G
35,http://www.sedaily.com/NewsView/1L1LV7VWVV
36,http://www.m-i.kr/news/articleView.html?idxno=256134
37,http://stock.hankyung.com/news/app/newsview.php?aid=2016083010611
38,http://www.m-i.kr/news/articleView.html?idxno=234468
39,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1002467477
