,0
0,http://game.mk.co.kr/main/gamenews_detail.php?NO=201501206408
1,http://www.hankyung.com/news/app/newsview.php?aid=201511114006a
2,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002754056
3,http://game.mk.co.kr/main/gamenews_detail.php?NO=201500982102
4,http://www.hankyung.com/news/app/newsview.php?aid=201510140631v
5,http://game.mk.co.kr/main/gamenews_detail.php?NO=201500887434
6,http://game.mk.co.kr/main/gamenews_detail.php?NO=201500886844
7,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002738817
8,http://game.mk.co.kr/main/gamenews_detail.php?NO=201500825874
9,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002727295
10,http://game.mk.co.kr/main/gamenews_detail.php?NO=201500769681
11,http://game.mk.co.kr/main/gamenews_detail.php?NO=201500765891
12,http://www.hankyung.com/news/app/newsview.php?aid=2015080923781
13,http://game.mk.co.kr/main/gamenews_detail.php?NO=201500759756
14,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002722752
15,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1002083900
16,http://biz.heraldcorp.com/view.php?ud=20150722001204
17,http://game.mk.co.kr/main/gamenews_detail.php?NO=201500703444
18,http://game.mk.co.kr/main/gamenews_detail.php?NO=201500703423
19,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002714457
20,http://game.mk.co.kr/main/gamenews_detail.php?NO=201500694880
21,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002714201
22,http://biz.heraldcorp.com/view.php?ud=20150720000668
23,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002707858
24,http://biz.heraldcorp.com/view.php?ud=20150630001231
25,http://biz.heraldcorp.com/view.php?ud=20150518000896
26,http://biz.heraldcorp.com/view.php?ud=20150429001155
27,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002668866
