,0
0,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400008385
1,http://www.hankyung.com/news/app/newsview.php?aid=201401023902g
2,http://game.donga.com/71198/
3,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301355476
4,http://game.donga.com/71172/
5,http://www.hankyung.com/news/app/newsview.php?aid=201312187011v
6,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301304201
7,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301300087
8,http://www.hankyung.com/news/app/newsview.php?aid=201312172402v
9,http://game.donga.com/70979/
10,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002439426
11,http://www.hankyung.com/news/app/newsview.php?aid=2013121713466
12,http://www.hankyung.com/news/app/newsview.php?aid=201312120605v
13,http://www.asiatoday.co.kr/news/view.asp?seq=908188
14,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301275357
15,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002437100
16,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301250697
17,http://www.hankyung.com/news/app/newsview.php?aid=201312021146v
18,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301219145
19,http://game.donga.com/70719/
20,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301212681
21,http://www.hankyung.com/news/app/newsview.php?aid=201311295477v
22,http://www.asiatoday.co.kr/news/view.asp?seq=901310
23,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301206640
24,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301206515
25,http://www.hankyung.com/news/app/newsview.php?aid=201311293844v
26,http://game.donga.com/70686/
27,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301158383
28,http://news.mk.co.kr/news_forward.php?domain=news&no=1150412&year=2013
29,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301130951
30,http://game.donga.com/70420/
31,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301128358
32,http://game.donga.com/70394/
33,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301120352
34,http://www.hankyung.com/news/app/newsview.php?aid=201311123616g
35,http://www.khan.co.kr/kh_news/art_view.html?artid=201311062226041&code=930507
36,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301080569
37,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301069393
38,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301065165
39,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301064300
40,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301059531
41,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301057845
42,http://wstarnews.hankyung.com/apps/news?popup=0&nid=01&c1=01&c2=01&c3=00&nkey=201310301019351&mode=sub_view
43,http://game.donga.com/70162/
44,http://www.hankyung.com/news/app/newsview.php?aid=2013102932681
45,http://game.donga.com/70137/
46,http://www.khan.co.kr/kh_news/art_view.html?artid=201310281534391&code=930507
47,http://www.hankyung.com/news/app/newsview.php?aid=201310289116g
48,http://game.donga.com/70127/
49,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002414414
50,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301029522
51,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301023792
52,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300971295
53,http://www.hankyung.com/news/app/newsview.php?aid=201310111943v
54,http://game.donga.com/69876/
55,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002406152
56,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300966618
57,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300963022
58,http://game.donga.com/69855/
59,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300953824
60,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002404519
61,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300946486
62,http://www.hankyung.com/news/app/newsview.php?aid=201310016082v
63,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300922157
64,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300877868
65,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300863063
66,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300861585
67,http://game.donga.com/69550/
68,http://www.hankyung.com/news/app/newsview.php?aid=201309169451v
69,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300838643
70,http://www.hankyung.com/news/app/newsview.php?aid=201309116761v
71,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300814937
72,http://www.hankyung.com/news/app/newsview.php?aid=2013090457246
73,http://www.hankyung.com/news/app/newsview.php?aid=201309032185v
74,http://game.donga.com/69371/
75,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300795378
76,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002385409
77,http://www.hankyung.com/news/app/newsview.php?aid=201308290122v
78,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300780749
79,http://game.donga.com/69308/
80,http://game.donga.com/69251/
81,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300767979
82,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300759915
83,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300749807
84,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300748459
85,http://game.donga.com/69191/
86,http://www.hankyung.com/news/app/newsview.php?aid=201308205081v
87,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300739054
88,http://game.donga.com/69146/
89,http://news.mk.co.kr/news_forward.php?domain=news&no=724904&year=2013
90,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300720442
91,http://www.hankyung.com/news/app/newsview.php?aid=201308142371v
92,http://game.donga.com/69066/
93,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300685013
94,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002371558
95,http://game.donga.com/68873/
96,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300659978
97,http://www.hankyung.com/news/app/newsview.php?aid=201307314869v
98,http://game.mk.co.kr/main/gamenews_detail.php?NO=201300657528
