,0
0,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401543702
1,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401542138
2,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002615053
3,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401537916
4,http://biz.heraldcorp.com/view.php?ud=20141217000968
5,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401536855
6,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002614790
7,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401536255
8,http://sbscnbc.sbs.co.kr/read.jsp?pmArticleId=10000708411
9,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002614737
10,http://www.hankyung.com/news/app/newsview.php?aid=201412179872a
11,http://game.donga.com/77494/
12,http://biz.heraldcorp.com/view.php?ud=20141216000958
13,http://game.donga.com/77478/
14,http://www.hankyung.com/news/app/newsview.php?aid=201412167218v
15,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401530156
16,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401530162
17,http://www.asiatoday.co.kr/view.php?key=20141215010008893
18,http://www.hankyung.com/news/app/newsview.php?aid=201412153900v
19,http://biz.heraldcorp.com/view.php?ud=20141215000794
20,http://biz.heraldcorp.com/view.php?ud=20141215000784
21,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401527641
22,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401523075
23,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002612838
24,http://www.hankyung.com/news/app/newsview.php?aid=201412126355v
25,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401521059
26,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401518712
27,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401516999
28,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401515175
29,http://www.asiatoday.co.kr/view.php?key=20141210010006308
30,http://sbscnbc.sbs.co.kr/read.jsp?pmArticleId=10000706938
31,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401512552
32,http://game.donga.com/77356/
33,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401509568
34,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401508145
35,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401505813
36,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401501499
37,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401498436
38,http://www.hankyung.com/news/app/newsview.php?aid=201412053856v
39,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401496890
40,http://biz.heraldcorp.com/view.php?ud=20141205000338
41,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401495644
42,http://game.donga.com/77269/
43,http://www.asiatoday.co.kr/view.php?key=20141204010002876
44,http://biz.heraldcorp.com/view.php?ud=20141204001030
45,http://biz.heraldcorp.com/view.php?ud=20141204001025
46,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401494276
47,http://www.hankyung.com/news/app/newsview.php?aid=201412040786v
48,http://www.hankyung.com/news/app/newsview.php?aid=201412040158v
49,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401492798
50,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401492647
51,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401490396
52,http://www.hankyung.com/news/app/newsview.php?aid=201412036936v
53,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401489134
54,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401488364
55,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401485965
56,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002607599
57,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401484182
58,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002607467
59,http://news.mk.co.kr/news_forward.php?domain=news&no=1482086&year=2014
60,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401481603
61,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401479822
62,http://www.hankyung.com/news/app/newsview.php?aid=2014120171876
63,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401478261
64,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401474229
65,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401472894
66,http://www.hankyung.com/news/app/newsview.php?aid=2014112811336
67,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401470952
68,http://www.hankyung.com/news/app/newsview.php?aid=2014112787536
69,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401469051
70,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401463259
71,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401462747
72,http://www.asiatoday.co.kr/view.php?key=20141125010015301
73,http://game.mk.co.kr/main/gamenews_detail.php?NO=201401458051
74,http://www.hankyung.com/news/app/newsview.php?aid=201411244867v
