,0
0,http://news.mk.co.kr/news_forward.php?domain=news&no=947036&year=2014
1,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400928565
2,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400918308
3,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400916541
4,http://www.hankyung.com/news/app/newsview.php?aid=2014062055846
5,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400896249
6,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400875177
7,http://www.hankyung.com/news/app/newsview.php?aid=2014061021596
8,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400870953
9,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400869266
10,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400860206
11,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400854297
12,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400852598
13,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400850299
14,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400848727
15,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400833842
16,http://news.mk.co.kr/news_forward.php?domain=news&no=823984&year=2014
17,http://www.hankyung.com/news/app/newsview.php?aid=201405095980v
18,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002509790
19,http://www.hankyung.com/news/app/newsview.php?aid=2014050951296
20,http://www.hankyung.com/news/app/newsview.php?aid=2014050950136
21,http://news.mk.co.kr/news_forward.php?domain=news&no=708653&year=2014
22,http://www.hankyung.com/news/app/newsview.php?aid=2014042878656
23,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400636348
24,http://www.hankyung.com/news/app/newsview.php?aid=201404183835u
25,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400629696
26,http://www.hankyung.com/news/app/newsview.php?aid=2014042176056
27,http://www.segyefn.com/articles/article.asp?aid=20140421020504&cid=0503010000000?OutUrl=naver
28,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400613068
29,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002501390
30,http://www.segyefn.com/articles/article.asp?aid=20140418022470&cid=0503010000000?OutUrl=naver
31,http://www.hankyung.com/news/app/newsview.php?aid=201404183700v
32,http://www.asiatoday.co.kr/view.php?key=20140418010011584
33,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400609937
34,http://www.hankyung.com/news/app/newsview.php?aid=2014041835976
35,http://sbscnbc.sbs.co.kr/read.jsp?pmArticleId=10000644129
36,http://www.hankyung.com/news/app/newsview.php?aid=2014032139306
37,http://www.hankyung.com/news/app/newsview.php?aid=2014032135436
38,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400376956
39,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400355618
40,http://www.hankyung.com/news/app/newsview.php?aid=2014030676696
41,http://www.hankyung.com/news/app/newsview.php?aid=2014021740016
42,http://www.hankyung.com/news/app/newsview.php?aid=2014021736626
43,http://www.hankyung.com/news/app/newsview.php?aid=201402129723v
44,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400226166
45,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002465593
46,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400225663
47,http://www.hankyung.com/news/app/newsview.php?aid=2014021287286
48,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400157734
49,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301370592
50,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301365929
51,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301334932
52,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301304201
53,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301273500
54,http://www.hankyung.com/news/app/newsview.php?aid=2013121166951
55,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301269184
56,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301257009
57,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301255081
58,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301182863
59,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301170374
60,http://news.mk.co.kr/news_forward.php?domain=news&no=1125527&year=2013
61,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301125336
62,http://www.hankyung.com/news/app/newsview.php?aid=201311136641v
63,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301123491
64,http://www.hankyung.com/news/app/newsview.php?aid=2013111359336
65,http://news.mk.co.kr/news_forward.php?domain=news&no=1122968&year=2013
66,http://www.hankyung.com/news/app/newsview.php?aid=2013111358936
67,http://game.mk.co.kr/main/gamenews_detail.php?NO=201301103833
