,0
0,http://www.hankyung.com/news/app/newsview.php?aid=2014121702376
1,http://www.hankyung.com/news/app/newsview.php?aid=2014121263006
2,http://biz.heraldcorp.com/view.php?ud=20141202000409
3,http://www.hankyung.com/news/app/newsview.php?aid=2014120215156
4,http://www.hankyung.com/news/app/newsview.php?aid=2014090280636
5,http://www.hankyung.com/news/app/newsview.php?aid=2014080612256
6,http://biz.heraldcorp.com/view.php?ud=20140721000791
7,http://www.hankyung.com/news/app/newsview.php?aid=2014072118986
8,http://www.hankyung.com/news/app/newsview.php?aid=2014070762516
9,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002539772
10,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002533308
11,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002532988
12,http://www.hankyung.com/news/app/newsview.php?aid=2014061872636
13,http://www.hankyung.com/news/app/newsview.php?aid=2014061868066
14,http://www.hankyung.com/news/app/newsview.php?aid=2014061862976
15,http://news.mk.co.kr/news_forward.php?domain=news&no=900111&year=2014
16,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002532635
17,http://www.asiatoday.co.kr/view.php?key=20140616010008528
18,http://www.hankyung.com/news/app/newsview.php?aid=2014053028756
