,0
0,http://www.hankyung.com/news/app/newsview.php?aid=2016092315261
1,http://news.heraldcorp.com/village/view.php?ud=201609231430083121642_7
2,http://www.m-i.kr/news/articleView.html?idxno=254705
3,http://www.asiatoday.co.kr/view.php?key=20160923010012267
4,http://news.heraldcorp.com/view.php?ud=20160923000506
5,http://www.sedaily.com/NewsView/1L1J3FCB08
6,http://www.fntimes.com/paper/view.aspx?num=162572
7,http://www.munhwa.com/news/view.html?no=2016092301073603018001
8,http://news.heraldcorp.com/view.php?ud=20160923000093
9,http://www.fntimes.com/paper/view.aspx?num=162538
10,http://news.heraldcorp.com/village/view.php?ud=201609221513597447652_7
11,http://news.heraldcorp.com/village/view.php?ud=201609221218166353463_7
12,http://news.donga.com/3/all/20160922/80396900/1
13,http://www.m-i.kr/news/articleView.html?idxno=254368
14,http://www.asiatoday.co.kr/view.php?key=20160922010011435
15,http://www.m-i.kr/news/articleView.html?idxno=254292
16,http://www.fntimes.com/paper/view.aspx?num=162484
17,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600664892
18,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600664877
19,http://www.fntimes.com/paper/view.aspx?num=162448
20,http://www.hani.co.kr/arti/economy/finance/762047.html
21,http://www.sedaily.com/NewsView/1L1I76MK76
22,http://www.asiatoday.co.kr/view.php?key=20160921010010868
23,http://news.heraldcorp.com/village/view.php?ud=201609211050279105520_7
24,http://www.m-i.kr/news/articleView.html?idxno=253961
25,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600661822
26,http://www.hankyung.com/news/app/newsview.php?aid=201609201808v
27,http://news.mk.co.kr/newsRead.php?no=661309&year=2016
28,http://www.fntimes.com/paper/view.aspx?num=162366
29,http://www.m-i.kr/news/articleView.html?idxno=253693
30,http://www.sedaily.com/NewsView/1L1HAGFA71
31,http://www.asiatoday.co.kr/view.php?key=20160919010009481
32,http://www.hankyung.com/news/app/newsview.php?aid=201609199218v
33,http://news.heraldcorp.com/culture/view.php?ud=201609192128299620176_1
34,http://www.hankyung.com/news/app/newsview.php?aid=2016091986401
35,http://www.hankyung.com/news/app/newsview.php?aid=201609198854g
36,http://news.kmib.co.kr/article/view.asp?arcid=0923618959&code=11151400&cp=nv
37,http://www.hankyung.com/news/app/newsview.php?aid=201609198024g
38,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600658093
39,http://www.fntimes.com/paper/view.aspx?num=162294
40,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201609191457001&code=920100
41,http://news.heraldcorp.com/village/view.php?ud=201609191232515918189_7
42,http://www.sedaily.com/NewsView/1L1H97DJG8
43,http://news.mk.co.kr/newsRead.php?no=657816&year=2016
44,http://www.sedaily.com/NewsView/1L1H9Q1868
45,http://www.asiatoday.co.kr/view.php?key=20160919010009108
46,http://www.fntimes.com/paper/view.aspx?num=162282
47,http://www.m-i.kr/news/articleView.html?idxno=253349
48,http://www.m-i.kr/news/articleView.html?idxno=253288
49,http://www.m-i.kr/news/articleView.html?idxno=253280
50,http://news.kmib.co.kr/article/view.asp?arcid=0010936645&code=61141111&cp=nv
51,http://www.asiatoday.co.kr/view.php?key=20160919010008919
52,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201609191056011&code=920100
53,http://www.asiatoday.co.kr/view.php?key=20160919010008884
54,http://www.hankyung.com/news/app/newsview.php?aid=201609197072g
55,http://star.mk.co.kr/new/view.php?mc=ST&no=656966&year=2016
56,http://www.seoul.co.kr/news/newsView.php?id=20160919018008&wlog_tag3=naver
57,http://www.sedaily.com/NewsView/1L1GSV8K84
58,http://www.hankyung.com/news/app/newsview.php?aid=201609184948g
59,http://news.donga.com/3/all/20160917/80313253/1
60,http://www.sedaily.com/NewsView/1L1GBKQUJ4
61,http://www.hankyung.com/news/app/newsview.php?aid=201609163084v
62,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600651509
63,http://news.mk.co.kr/newsRead.php?no=649997&year=2016
64,http://news.heraldcorp.com/village/view.php?ud=201609131118578196170_7
65,http://www.m-i.kr/news/articleView.html?idxno=252914
66,http://www.hankyung.com/news/app/newsview.php?aid=201609139486g
67,http://www.asiatoday.co.kr/view.php?key=20160912010007337
68,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201609122300001&code=930201
69,http://www.sedaily.com/NewsView/1L1E2MUKFI
70,http://www.m-i.kr/news/articleView.html?idxno=252729
71,http://news.mk.co.kr/newsRead.php?no=648322&year=2016
72,http://www.hankookilbo.com/v/f2df2751c2f7474f8e3ac6b0e4841e6e
73,http://news.kmib.co.kr/article/view.asp?arcid=0010925632&code=61121111&cp=nv
74,http://news.mk.co.kr/newsRead.php?no=648264&year=2016
75,http://news.donga.com/3/all/20160912/80272645/2
76,http://www.asiatoday.co.kr/view.php?key=20160912010007324
77,http://news.heraldcorp.com/culture/view.php?ud=201609122056375700589_1
78,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201609122059001&code=920100
79,http://www.asiatoday.co.kr/view.php?key=20160912002053096
80,http://www.sedaily.com/NewsView/1L1E1V4OBT
81,http://news.heraldcorp.com/view.php?ud=20160912001079
82,http://www.fntimes.com/paper/view.aspx?num=162110
83,http://news.mk.co.kr/newsRead.php?no=648134&year=2016
84,http://www.sedaily.com/NewsView/1L1E2TB3VL
85,http://news.mk.co.kr/newsRead.php?no=648117&year=2016
86,http://www.seoul.co.kr/news/newsView.php?id=20160912500190&wlog_tag3=naver
87,http://www.asiatoday.co.kr/view.php?key=20160912010007292
88,http://www.asiatoday.co.kr/view.php?key=20160912002017337
89,http://news.kmib.co.kr/article/view.asp?arcid=0010925465&code=61141111&cp=nv
90,http://news.heraldcorp.com/view.php?ud=20160912001072
91,http://news.mk.co.kr/newsRead.php?no=647367&year=2016
92,http://news.donga.com/3/all/20160912/80267066/1
93,http://www.fntimes.com/paper/view.aspx?num=162086
94,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201609121519001&code=920100
95,http://www.m-i.kr/news/articleView.html?idxno=252713
96,http://www.asiatoday.co.kr/view.php?key=20160912010007058
97,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1002557919
98,http://www.fntimes.com/paper/view.aspx?num=162069
99,http://www.asiatoday.co.kr/view.php?key=20160912010006981
100,http://news.heraldcorp.com/village/view.php?ud=201609081117303215438_7
101,http://www.m-i.kr/news/articleView.html?idxno=252541
102,http://www.hankyung.com/news/app/newsview.php?aid=201609125902g
103,http://www.hani.co.kr/arti/economy/it/761004.html
104,http://www.sedaily.com/NewsView/1L1D4ESJAC
105,http://www.asiatoday.co.kr/view.php?key=20160910010005913
106,http://www.fntimes.com/paper/view.aspx?num=161977
107,http://www.hankyung.com/news/app/newsview.php?aid=201609091454a
108,http://news.mk.co.kr/newsRead.php?no=641703&year=2016
109,http://www.sedaily.com/NewsView/1L1CNLSPKL
110,http://www.fntimes.com/paper/view.aspx?num=161949
111,http://www.hankyung.com/news/app/newsview.php?aid=201609090608g
112,http://www.asiatoday.co.kr/view.php?key=20160909010005457
113,http://www.asiatoday.co.kr/view.php?key=20160909010005453
114,http://www.hankyung.com/news/app/newsview.php?aid=201609090547g
115,http://www.m-i.kr/news/articleView.html?idxno=252189
116,http://www.m-i.kr/news/articleView.html?idxno=252170
117,http://game.mk.co.kr/main/gamenews_detail.php?NO=201600639736
118,http://www.fntimes.com/paper/view.aspx?num=161905
119,http://www.sedaily.com/NewsView/1L1C7ZMMQ7
