,0
0,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400157726
1,http://www.hankyung.com/news/app/newsview.php?aid=201401293357g
2,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400152344
3,http://game.donga.com/71639/
4,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400148958
5,http://game.donga.com/71632/
6,http://www.hankyung.com/news/app/newsview.php?aid=201401289923v
7,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002459063
8,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400123807
9,http://www.hankyung.com/news/app/newsview.php?aid=201401236655g
10,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002456598
11,http://news.mk.co.kr/news_forward.php?domain=news&no=110570&year=2014
12,http://www.hankyung.com/news/app/newsview.php?aid=201401204770v
13,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400090207
14,http://news.mk.co.kr/news_forward.php?domain=news&no=89875&year=2014
15,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002453877
16,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400081255
17,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400074104
18,http://www.hankyung.com/news/app/newsview.php?aid=2014011481131
19,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400070727
20,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400070710
21,http://game.donga.com/71412/
22,http://www.hankyung.com/news/app/newsview.php?aid=201401147314v
23,http://www.hankyung.com/news/app/newsview.php?aid=201401147306v
24,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400065742
25,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400065691
26,http://game.mk.co.kr/main/gamenews_detail.php?NO=201400065625
27,http://sbscnbc.sbs.co.kr/read.jsp?pmArticleId=10000625248
28,http://game.donga.com/71391/
29,http://game.donga.com/71390/
30,http://www.khan.co.kr/kh_news/art_view.html?artid=201401131547021&code=930507
31,http://www.hankyung.com/news/app/newsview.php?aid=201401133725v
