,0
0,http://news.mk.co.kr/news_forward.php?domain=news&no=46051&year=2014
1,http://www.asiatoday.co.kr/news/view.asp?seq=920909
2,http://www.hankyung.com/news/app/newsview.php?aid=2014010888226
3,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002448925
4,http://news.mk.co.kr/news_forward.php?domain=news&no=1337943&year=2013
5,http://news.mk.co.kr/news_forward.php?domain=news&no=1337607&year=2013
6,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002442911
7,http://www.segyefn.com/articles/article.asp?aid=20131220020815&cid=0503010000000?OutUrl=naver
8,http://news.mk.co.kr/news_forward.php?domain=news&no=1307010&year=2013
9,http://sbscnbc.sbs.co.kr/read.jsp?pmArticleId=10000619335
10,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002435809
11,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002435258
12,http://news.mk.co.kr/news_forward.php?domain=news&no=1238679&year=2013
13,http://www.hankyung.com/news/app/newsview.php?aid=2013112931796
14,http://it.donga.com/16614/
15,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002428213
16,http://news.mk.co.kr/news_forward.php?domain=news&no=1171364&year=2013
17,http://www.hankyung.com/news/app/newsview.php?aid=2013111490626
18,http://www.hankyung.com/news/app/newsview.php?aid=2013111486996
19,http://news.mk.co.kr/news_forward.php?domain=news&no=1092801&year=2013
20,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0002419215
21,http://www.hankyung.com/news/app/newsview.php?aid=2013110662446
22,http://news.mk.co.kr/news_forward.php?domain=news&no=1088253&year=2013
23,http://www.hankyung.com/news/app/newsview.php?aid=2013110523206
24,http://news.mk.co.kr/news_forward.php?domain=news&no=1056903&year=2013
25,http://www.hankyung.com/news/app/newsview.php?aid=2013102913231
26,http://sbscnbc.sbs.co.kr/read.jsp?pmArticleId=10000604408
27,http://www.seoul.co.kr/news/newsView.php?id=20131030500026
28,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002414531
29,http://www.hankyung.com/news/app/newsview.php?aid=2013102877706
30,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002411513
31,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0002411504
32,http://news.mk.co.kr/news_forward.php?domain=news&no=1013630&year=2013
