0,1,2,3
게임빌,2014.04.29,665,83.85567010309278
게임빌,2015.06.22,659,84.16161616161617
게임빌,2016.03.30,470,91.4020618556701
게임빌,2017.03.29,232,88.04
나이스정보통신,2014.05.30,16,96.46666666666667
나이스정보통신,2015.03.31,29,87.44
나이스정보통신,2016.03.18,6,71.16666666666667
나이스정보통신,2017.03.18,6,71.16666666666667
네오디안테크놀로지,2016.04.24,12,97.0
네오디안테크놀로지,2017.04.20,8,82.375
누리텔레콤,2015.03.25,22,81.84210526315789
누리텔레콤,2016.06.15,35,82.54285714285714
누리텔레콤,2017.04.26,15,81.86666666666666
누리텔레콤,2017.05.25,15,92.73333333333333
다우인큐브,2014.08.20,1,97.0
다우인큐브,2015.03.19,6,75.0
다우인큐브,2016.03.18,9,99.5
다우인큐브,2017.04.02,3,82.66666666666667
대신정보통신,2014.07.23,2,95.0
대신정보통신,2015.06.25,12,67.33333333333333
대신정보통신,2016.06.02,14,77.64285714285714
대신정보통신,2017.06.08,17,81.29411764705883
대아티아이,2014.11.15,10,91.55555555555556
대아티아이,2015.03.18,14,90.92307692307692
대아티아이,2016.08.18,5,74.5
대아티아이,2017.03.29,14,77.0
로지시스,2015.08.17,2,86.0
로지시스,2016.05.03,37,81.52777777777777
로지시스,2017.05.08,4,97.0
로지시스,2017.06.07,4,97.0
모바일리더,2014.09.18,20,90.88235294117646
모바일리더,2015.04.14,16,69.21428571428571
모바일리더,2016.03.29,11,69.8
모바일리더,2017.03.29,14,67.28571428571429
민앤지,2016.03.29,99,87.40217391304348
민앤지,2017.04.01,40,89.71052631578948
비트컴퓨터,2014.03.29,11,78.7
비트컴퓨터,2015.05.12,19,92.94444444444444
비트컴퓨터,2016.04.14,26,90.0
비트컴퓨터,2017.03.25,15,89.0
삼성에스디에스,2015.04.30,42,89.825
삼성에스디에스,2016.04.22,58,89.36538461538461
삼성에스디에스,2017.04.28,23,61.90909090909091
세종텔레콤,2014.10.22,1,100.0
세종텔레콤,2015.09.30,9,88.22222222222223
세종텔레콤,2016.09.30,64,79.23728813559322
세종텔레콤,2017.06.14,40,91.82857142857142
아프리카티비,2014.03.25,6,99.4
아프리카티비,2015.03.27,1,100.0
아프리카티비,2016.04.02,124,77.5925925925926
아프리카티비,2017.03.25,14,66.55555555555556
안랩,2014.05.12,124,60.406976744186046
안랩,2015.04.20,92,86.55681818181819
안랩,2016.04.22,205,77.38297872340425
안랩,2017.04.11,109,90.15625
알티캐스트,2015.03.25,37,98.0
알티캐스트,2016.05.19,10,99.5
알티캐스트,2016.11.02,10,99.2
알티캐스트,2017.05.02,4,80.0
액토즈소프트,2014.04.02,129,89.22222222222223
액토즈소프트,2015.03.20,144,89.37373737373737
액토즈소프트,2016.04.02,28,79.11111111111111
액토즈소프트,2017.03.29,19,85.05263157894737
엔씨소프트,2014.03.28,415,90.72289156626506
엔씨소프트,2015.03.22,478,86.74736842105263
엔씨소프트,2016.06.17,672,78.48979591836735
엔씨소프트,2017.06.29,500,76.90625
엔지스테크널러지,2017.03.16,18,85.55555555555556
엔텔스,2015.03.25,39,80.91891891891892
엔텔스,2016.04.27,12,77.18181818181819
엔텔스,2017.03.15,13,86.84615384615384
엔텔스,2017.05.04,14,88.21428571428571
엠게임,2014.04.02,183,81.53535353535354
엠게임,2015.04.02,189,82.25773195876289
엠게임,2016.05.30,85,94.50602409638554
엠게임,2017.03.25,98,85.79591836734694
오픈베이스,2014.08.25,3,97.0
오픈베이스,2015.05.14,2,-1.0
오픈베이스,2016.07.19,6,91.33333333333333
오픈베이스,2017.03.22,5,95.33333333333333
웹젠,2014.04.02,138,85.46938775510205
웹젠,2015.03.18,285,88.81818181818181
웹젠,2016.03.16,338,90.98989898989899
웹젠,2017.04.01,178,84.58
유비벨록스,2014.04.04,24,84.8695652173913
유비벨록스,2015.03.28,12,90.1
유비벨록스,2016.05.20,45,95.34883720930233
유비벨록스,2017.03.31,6,80.8
이지웰페어,2015.04.03,73,94.91428571428571
이크레더블,2016.03.03,7,53.0
이크레더블,2017.03.03,3,100.0
조이맥스,2014.11.02,68,70.61538461538461
조이맥스,2015.03.29,73,60.94202898550725
조이맥스,2016.04.02,43,80.11627906976744
조이맥스,2017.03.28,22,73.81818181818181
처음앤씨,2014.05.13,25,90.34782608695652
처음앤씨,2015.05.11,19,82.3157894736842
처음앤씨,2016.07.04,17,81.88235294117646
처음앤씨,2017.07.06,8,99.125
카카오,2015.09.04,2990,73.45121951219512
카카오,2016.05.10,2391,83.6774193548387
카카오,2016.12.23,2391,82.65591397849462
카카오,2017.06.28,1969,79.81176470588235
컴투스,2014.05.01,581,81.36363636363636
컴투스,2015.03.24,732,89.4421052631579
컴투스,2016.03.17,607,93.60204081632654
컴투스,2017.03.16,245,89.4040404040404
케이티씨에스,2014.06.13,1,100.0
케이티씨에스,2015.03.19,1,-1.0
케이티씨에스,2016.03.27,1,100.0
코나아이,2014.11.15,15,81.53846153846153
코나아이,2015.03.29,30,87.33333333333333
코나아이,2016.03.27,68,89.53333333333333
코나아이,2017.03.18,61,88.30357142857143
큐로컴,2014.04.28,10,53.666666666666664
큐로컴,2015.03.18,12,82.0
큐로컴,2016.03.22,10,90.8
큐로컴,2017.03.16,37,92.47222222222223
파수닷컴,2014.05.14,44,91.39393939393939
파수닷컴,2015.04.29,33,89.625
파수닷컴,2016.04.27,29,96.6896551724138
파수닷컴,2017.04.28,21,84.04761904761905
팍스넷,2014.05.10,18,77.5
팍스넷,2016.04.07,1,50.0
팍스넷,2017.03.26,21,66.38095238095238
한글과컴퓨터,2014.04.09,93,91.64634146341463
한글과컴퓨터,2015.03.27,132,86.88636363636364
한글과컴퓨터,2016.03.29,100,93.10989010989012
한글과컴퓨터,2017.03.18,56,91.62745098039215
핸디소프트,2014.05.09,2,100.0
핸디소프트,2015.05.11,4,86.75
핸디소프트,2016.09.07,13,92.3076923076923
핸디소프트,2017.03.31,42,87.21428571428571
LG유플러스,2016.06.28,1147,85.06024096385542
LG유플러스,2017.01.09,866,86.28571428571429
SK텔레콤,2014.10.15,1471,82.40243902439025
SK텔레콤,2015.10.26,1471,84.97590361445783
SK텔레콤,2016.05.20,1424,85.75903614457832
SK텔레콤,2017.04.12,1043,89.26506024096386
이지웰페어,2016.05.23,103,92.56565656565657
이지웰페어,2017.01.20,91,94.04545454545455
이지웰페어,2017.05.08,45,83.9090909090909
