compCredit,compName,creditDate
AA0,네이버(주),2017.06.19
AA0,네이버(주),2016.06.29
AA0 ,네이버(주),2015.10.08
AA0 ,네이버(주),2014.06.27
A0,(주)다우기술,2017.06.23
A0,(주)다우기술,2016.06.27
A0  ,(주)다우기술,2015.07.15
A+  ,(주)다우기술,2014.05.12
B0,동양네트웍스(주),2017.06.20
BB-,동양네트웍스(주),2017.05.12
B0,동양네트웍스(주),2016.11.10
BB0,동양네트웍스(주),2016.05.03
A+,한화에스앤씨(주),2017.06.27
A+,한화에스앤씨(주),2016.06.28
A+  ,한화에스앤씨(주),2015.06.24
A+  ,한화에스앤씨(주),2014.06.27
AA-,(주)엘지씨엔에스,2017.06.27
AA-,(주)엘지씨엔에스,2017.03.29
AA-,(주)엘지씨엔에스,2016.06.30
AA- ,(주)엘지씨엔에스,2015.06.30
AA-,에스케이브로드밴드(주),2017.06.09
AA-,에스케이브로드밴드(주),2017.05.31
AA-,에스케이브로드밴드(주),2017.01.19
AA-,에스케이브로드밴드(주),2016.09.21
AAA+,SK텔레콤(주),2017.04.12
AAA+,SK텔레콤(주),2016.05.20
AAA+,SK텔레콤(주),2015.10.26
AAA+,SK텔레콤(주),2014.10.15
AA0,(주)LG유플러스,2017.06.28
AA0,(주)LG유플러스,2017.01.09
AA0,(주)LG유플러스,2016.06.28
AA0 ,(주)LG유플러스,2015.06.10
AA0,삼성SDI(주),2017.06.22
AA0,삼성SDI(주),2016.06.17
AA0 ,삼성SDI(주),2015.09.01
AA0 ,삼성SDI(주),2014.07.08
AA0,LG전자(주),2017.04.17
AA0,LG전자(주),2017.03.21
AA0,LG전자(주),2016.08.24
AA0 ,LG전자(주),2015.06.25
BBB0,한솔테크닉스(주),2017.04.13
BBB0,한솔테크닉스(주),2017.04.06
BBB0,한솔테크닉스(주),2016.08.23
BBB0,한솔테크닉스(주),2015.06.18
B0,(주)파루,2017.06.30
B+,(주)파루,2016.06.29
B+  ,(주)파루,2015.09.21
B+  ,(주)파루,2014.04.15
A0,가온전선(주),2017.06.22
A0,가온전선(주),2016.06.13
A0  ,가온전선(주),2015.06.29
A0  ,가온전선(주),2014.06.30
