compCode,compCredit,compName,creditDate
78340,AA0,(주)컴투스,2017.03.16
78340,A0,(주)컴투스,2016.03.17
78340,A0  ,(주)컴투스,2015.03.24
78340,AA0 ,(주)컴투스,2014.05.01
92130,AA-,(주)이크레더블,2017.03.03
92130,AA-,(주)이크레더블,2016.03.03
92130,AAA+,(주)이크레더블,2015.03.12
92130,A0  ,(주)이크레더블,2014.05.08
69080,A-,(주)웹젠,2017.04.01
69080,BBB+,(주)웹젠,2016.03.16
69080,AA+ ,(주)웹젠,2015.03.18
69080,A+  ,(주)웹젠,2014.04.02
214180,A0,(주)민앤지,2017.04.01
214180,A0,(주)민앤지,2016.03.29
214180,A+  ,(주)민앤지,2015.06.30
30520,A0,(주)한글과컴퓨터,2017.03.18
30520,AA-,(주)한글과컴퓨터,2016.03.29
30520,AA+ ,(주)한글과컴퓨터,2015.03.27
30520,AA0 ,(주)한글과컴퓨터,2014.04.09
53800,AA-,(주)안랩,2017.04.11
53800,AA-,(주)안랩,2016.04.22
53800,AA- ,(주)안랩,2015.04.20
53800,AA- ,(주)안랩,2014.05.12
35720,AA-,(주)카카오,2017.06.28
35720,AA-,(주)카카오,2016.12.23
35720,AA-,(주)카카오,2016.05.10
35720,AA- ,(주)카카오,2015.09.04
45390,A-,대아티아이(주),2017.03.29
45390,A+,대아티아이(주),2016.08.18
45390,A+  ,대아티아이(주),2015.03.18
45390,A+  ,대아티아이(주),2014.11.15
36800,A-,나이스정보통신(주),2017.03.18
36800,A-,나이스정보통신(주),2016.03.18
36800,AA- ,나이스정보통신(주),2015.03.31
36800,A+  ,나이스정보통신(주),2014.05.30
40160,BB+,(주)누리텔레콤,2017.05.25
40160,BB+,(주)누리텔레콤,2017.04.26
40160,BB+,(주)누리텔레콤,2016.06.15
40160,BBB+,(주)누리텔레콤,2015.03.25
32850,A0,(주)비트컴퓨터,2017.03.25
32850,BBB+,(주)비트컴퓨터,2016.04.14
32850,BBB0,(주)비트컴퓨터,2015.05.12
32850,BBB-,(주)비트컴퓨터,2014.03.29
85810,BBB-,(주)알티캐스트,2017.05.02
85810,BBB-,(주)알티캐스트,2016.11.02
85810,BBB-,(주)알티캐스트,2016.05.19
85810,AA- ,(주)알티캐스트,2015.03.25
58630,BBB+,(주)엠게임,2017.03.25
58630,BB0,(주)엠게임,2016.05.30
58630,BB0 ,(주)엠게임,2015.04.02
58630,B-  ,(주)엠게임,2014.04.02
90850,BBB0,이지웰페어(주),2017.05.08
90850,BBB+,이지웰페어(주),2017.01.20
90850,BBB+,이지웰페어(주),2016.05.23
90850,AA0 ,이지웰페어(주),2015.04.03
49480,BBB+,(주)오픈베이스,2017.03.22
49480,BBB-,(주)오픈베이스,2016.07.19
49480,BBB-,(주)오픈베이스,2015.05.14
49480,BBB-,(주)오픈베이스,2014.08.25
101730,BBB-,(주)조이맥스,2017.03.28
101730,B+,(주)조이맥스,2016.04.02
101730,BBB-,(주)조이맥스,2015.03.29
101730,B0  ,(주)조이맥스,2014.11.02
208860,BBB-,(주)엔지스테크널러지,2017.03.16
208860,A0,(주)엔지스테크널러지,2016.04.28
52790,BB+,(주)액토즈소프트,2017.03.29
52790,BBB0,(주)액토즈소프트,2016.04.02
52790,B+  ,(주)액토즈소프트,2015.03.20
52790,AA- ,(주)액토즈소프트,2014.04.02
67730,A+,(주)로지시스,2017.06.07
67730,A+,(주)로지시스,2017.05.08
67730,A+,(주)로지시스,2016.05.03
67730,A+  ,(주)로지시스,2015.08.17
100030,A-,(주)모바일리더,2017.03.29
100030,BBB-,(주)모바일리더,2016.03.29
100030,BBB-,(주)모바일리더,2015.04.14
100030,BBB0,(주)모바일리더,2014.09.18
111820,BB0,(주)처음앤씨,2017.07.06
111820,BB0,(주)처음앤씨,2016.07.04
111820,BB0 ,(주)처음앤씨,2015.05.11
111820,BB+ ,(주)처음앤씨,2014.05.13
63080,BB0,(주)게임빌,2017.03.29
63080,BBB-,(주)게임빌,2016.03.30
63080,A0  ,(주)게임빌,2015.06.22
63080,AA0 ,(주)게임빌,2014.04.29
69410,A-,(주)엔텔스,2017.05.04
69410,BBB+,(주)엔텔스,2017.03.15
69410,A-,(주)엔텔스,2016.04.27
69410,AA0 ,(주)엔텔스,2015.03.25
220180,BBB-,(주)핸디소프트,2017.03.31
220180,BBB-,(주)핸디소프트,2016.09.07
220180,BB- ,(주)핸디소프트,2015.05.11
220180,BB+ ,(주)핸디소프트,2014.05.09
89850,BBB-,유비벨록스(주),2017.03.31
89850,BB+,유비벨록스(주),2016.05.20
89850,BB- ,유비벨록스(주),2015.03.28
89850,BBB-,유비벨록스(주),2014.04.04
52400,BB-,코나아이(주),2017.03.18
52400,BBB+,코나아이(주),2016.03.27
52400,A+  ,코나아이(주),2015.03.29
52400,BBB0,코나아이(주),2014.11.15
36630,BB+,세종텔레콤(주),2017.06.14
36630,BB+,세종텔레콤(주),2016.09.30
36630,BB0 ,세종텔레콤(주),2015.09.30
36630,BB0 ,세종텔레콤(주),2014.10.22
20180,A0,대신정보통신(주),2017.06.08
20180,A+,대신정보통신(주),2016.06.02
20180,BBB0,대신정보통신(주),2015.06.25
20180,BBB-,대신정보통신(주),2014.07.23
150900,BBB-,(주)파수닷컴,2017.04.28
150900,BBB+,(주)파수닷컴,2016.04.27
150900,BBB+,(주)파수닷컴,2015.04.29
150900,BBB+,(주)파수닷컴,2014.05.14
40350,BB-,(주)큐로컴,2017.03.16
40350,BB+,(주)큐로컴,2016.03.22
40350,BB+ ,(주)큐로컴,2015.03.18
40350,B+  ,(주)큐로컴,2014.04.28
72770,BB0,(주)네오디안테크놀로지,2017.04.20
72770,B+,(주)네오디안테크놀로지,2016.04.24
72770,A-  ,(주)네오디안테크놀로지,2014.11.26
38160,AA-,(주)팍스넷,2017.03.26
38160,AA-,(주)팍스넷,2016.04.07
38160,A-  ,(주)팍스넷,2015.05.19
38160,BB- ,(주)팍스넷,2014.05.10
36570,AA-,(주)엔씨소프트,2017.06.29
36570,AA-,(주)엔씨소프트,2016.06.17
36570,AAA+,(주)엔씨소프트,2015.03.22
36570,AA0 ,(주)엔씨소프트,2014.03.28
20120,BBB-,(주)다우인큐브,2017.04.02
20120,BBB-,(주)다우인큐브,2016.03.18
20120,BBB+,(주)다우인큐브,2015.03.19
20120,BB+ ,(주)다우인큐브,2014.08.20
32640,AA0,(주)LG유플러스,2017.06.28
32640,AA0,(주)LG유플러스,2017.01.09
32640,AA0,(주)LG유플러스,2016.06.28
32640,AA0 ,(주)LG유플러스,2015.06.10
17670,AAA+,SK텔레콤(주),2017.04.12
17670,AAA+,SK텔레콤(주),2016.05.20
17670,AAA+,SK텔레콤(주),2015.10.26
17670,AAA+,SK텔레콤(주),2014.10.15
36800,A-,나이스정보통신(주),2017.03.18
36800,A-,나이스정보통신(주),2016.03.18
36800,AA- ,나이스정보통신(주),2015.03.31
36800,A+  ,나이스정보통신(주),2014.05.30
67160,A0,(주)아프리카티비,2017.03.25
67160,A-,(주)아프리카티비,2016.04.02
67160,A-  ,(주)아프리카티비,2015.03.27
67160,BBB+,(주)아프리카티비,2014.03.25
58850,A-,(주)케이티씨에스,2017.03.26
58850,A0,(주)케이티씨에스,2016.03.27
