"캐치회사명","회사명","이슈.유","해외.사업","상장","매출액","자산총계","compCredit","compEmployee","compSize","compWelfare","pricePor","stockPrice","stockAmount","urlNum","sentiment","compAge","compCredit2","당좌비율","매출액증가율","자기자본증가율","기업순이익률","매출액순이익률","총자본순이익률","수지비율","유보액.납입자본","적립금비율","금융비용.대.매출액","금융비용.대.총부채","순금융비용.대.매출액","유보액.대.총자산","고정비율","부채총계.대.매출액","비유동부채.대.총자산","유동부채.대.총자산","유동부채비율","자기자본비율","재고자산.대.유동자산","차입금의존도...","금융비용부담율.증가분","총자산회전율","영업자산회전율","매출채권회전율","매입채무회전율","자본금회전율","손익활동.CF.매출액","EBITDA","KED현금비율","현금비율","현금성당좌자산.유동자산","현금성당좌자산.자산","금융기관차입금.부채","금융비용.총비용","부채.유형자산","이익잉여금.유동자산","자본금순이익률","X.부채총계.이익잉여금..유형자산","총자본경상이익률"
"(주)모바일리더","모바일리더",1,"유","KOSDAQ",5.11198778835654,354,"BBB0",0,"중소기업",11,0.001667209,10691.04396,52470.64835,20,90.88235294,14,4,688.2758621,165.5069583,109.1501028,11.84950267,23.42342342,12.78059971,244.6337308,1937.195122,99.74882261,1.261261261,5.898876404,-7.027027027,89.72041796,48.50863422,21.38138138,1.86388026,8.189776899,9.105180534,89.94634284,0,1.18610562,-0.08579693,0.470206156,4.683544304,4.743589744,6.50390625,10.15243902,19.6996997,36.6,566.2068966,174.4827586,82.26452906,46.37108162,11.79775281,30.84179971,1424,108.07,237.804878,-7204,10.12616746
"(주)모바일리더","모바일리더",0,"유","KOSDAQ",4.91265488573605,348,"BBB-",99,"중소기업",11,-0.001637446,10858.68132,48438.44505,16,69.21428571,15,4,922.2222222,81.92192192,102.3547881,4.216524217,9.164222874,3.87897595,448.427673,1952.439024,99.75460123,1.686217009,10.50228311,-10.19061584,92.03794194,53.25153374,16.05571848,0.89106065,5.432595573,5.797546012,93.70508767,0,0,0.004249557,0.392066686,3.696476965,3.524547804,7.372972973,8.317073171,-2.492668622,8.8,716.9312169,170.8994709,77.73952955,38.94797356,0,36.93304536,952.173913,128.06,76.2195122,-8752.173913,-0.279286268
"(주)모바일리더","모바일리더",0,"유","KOSDAQ",4.96284463025991,341,"BBB-",78,"중소기업",11,0.002313892,11247.76596,96862.15426,11,69.8,16,4,826.446281,104.8387097,96.53374233,0.754826535,0.48951049,0.218511004,1002.515723,2003.04878,104.3851287,1.328671329,7.224334601,-8.671328671,96.33431085,44.80457579,18.39160839,0.615835777,7.096774194,7.689863362,92.28739003,0,0,-0.003575457,0.419354839,3.261117446,2.918367347,6.412556054,8.719512195,12.58741259,-2.1,623.553719,169.4214876,75.45,44.25219941,0,34.12797992,1095.833333,111.85,4.268292683,-8225,-4.245356641
"(주)모바일리더","모바일리더",0,"유","KOSDAQ",4.89783979995091,340,"A-",72,"중소기업",11,0.000276365,11825.34759,106758.2139,14,67.28571429,17,4,743.8914027,93.84615385,101.0486177,1.350557839,1.043219076,0.442547811,949.6732026,2007.317073,103.5220126,2.384500745,14.47963801,-4.023845007,96.76660788,55.25157233,16.46795827,0,6.496178718,6.949685535,93.47442681,0,0,0.010558294,0.394473839,3.124563446,3.636856369,6.71,8.182926829,-14.08345753,3.7,566.5158371,101.8099548,76.15571776,36.80188125,0,29.11931818,1473.333333,136.5,8.536585366,-13486.66667,-0.853485064
"(주)조이맥스","조이맥스",0,"유","KOSDAQ",6.24222326545517,1196,"B0",0,"중견기업",14,-0.002100292,28812.7027,140367.9243,68,70.61538462,17,4,833.3333333,186.2780594,109.2073659,13.46626845,28.4548105,14.00688863,162.7605191,2974.715909,95.95857771,1.341107872,6.583969466,-5.364431487,87.55016722,42.24706745,20.36929057,1.387959866,7.37458194,8.082844575,91.23745819,0,0,-0.097740261,0.430183946,7.101449275,4.799440299,16.65048544,14.61647727,25.15063168,229.9,651.0204082,229.478458,78.12244898,48.01003344,0,34.61873007,219.2468619,79.37,415.9090909,-1001.25523,17.29812476
"(주)조이맥스","조이맥스",0,"유","KOSDAQ",5.72031177660741,1080,"BBB-",132,"중견기업",14,0.000821851,29435.2459,218444.4809,73,60.94202899,18,4,699.3887531,59.31972789,90.78995601,-3.287045175,-13.0078637,-3.813823911,-4113.333333,2312.235294,102.7253457,0.753604194,2.587176603,-4.587155963,91.0244535,51.22640557,29.12844037,0.666913672,7.576880326,8.25678813,91.76546869,0,0,-0.005875037,0.282697295,3.452488688,4.385057471,7.517241379,7.855855856,41.93971166,-9.6,556.4792176,291.5647922,79.56650935,42.16376436,0,22.15783664,191.1827957,94.25,-102.1879022,-968.3870968,-4.937797204
"(주)조이맥스","조이맥스",0,"유","KOSDAQ",5.71373280550937,957,"B+",145,"중견기업",14,-0.003137602,21580.54054,82292.98378,43,80.11627907,19,4,792.0529801,99.11533421,75.89583123,-16.67485024,-70.31404959,-24.41179846,-427.7249451,1827.294118,103.6175023,14.18181818,20.91662604,8.760330579,81.14942529,63.65208139,67.80165289,15.10971787,6.31138976,8.032983109,78.56844305,0,0,0.13428214,0.316091954,6.123481781,10.35958904,7.100938967,7.117647059,-23.90082645,-172.7,737.5827815,494.5364238,93.1229097,46.55172414,0,7.024098636,511.4713217,70.13,-500.4705882,-325.1870324,-20.08493056
"(주)조이맥스","조이맥스",0,"유","KOSDAQ",5.75257263882563,921,"BBB-",38,"중견기업",14,-0.000137857,7665.026738,24356.19251,22,73.81818182,20,4,755.1779935,104.1652893,97.75236069,0.468608552,-5.458584576,-2.313538234,596.2962963,1795.529412,103.8231293,6.854966677,11.61915008,-10.40939384,82.86458899,61.79591837,58.99714376,13.47594744,6.710826366,8.408163265,79.81322619,0,0,-0.073268515,0.342165273,9.785714286,8.951704545,9.755417957,7.414117647,-28.34020946,16.1,678.1553398,341.5857605,89.80072852,45.50982734,0,9.573124526,461.2903226,68.46,-40.47058824,-331.5136476,-5.528280315
"(주)처음앤씨","처음앤씨",0,"무","KOSDAQ",6.50279004591562,582,"BB+",0,"중소기업",0,-0.000790825,10065.51913,59319.91803,25,90.34782609,8,4,710.1694915,101.7840805,114.254248,7.042673829,3.280898876,6.432662652,1301.764706,1128.668942,95.7036629,2.02247191,6.167199635,1.333333333,56.83107063,6.058936932,32.79400749,24.43718852,13.18095893,21.12365739,62.39903764,2.732142857,29.79893452,0.00863582,1.147104313,2.680722892,1.983655275,56.09243697,23.67021277,-5.048689139,37.8,158.8005215,133.2464146,21.75,20.93143152,14.52718136,52.39212008,9517.391304,26.02,77.65957447,3182.608696,12.21912175
"(주)처음앤씨","처음앤씨",1,"무","KOSDAQ",6.19031540585315,575,"BB0",59,"중소기업",0,-0.001852253,7729.72973,90092.29189,19,82.31578947,9,4,1293.557423,73.03370787,108.1795649,2.420051858,1.21025641,1.561053049,1719.178082,1065.68915,96.53767821,1.661538462,4.443225453,0.656410256,63.18901061,26.96028513,37.39487179,25.49121892,6.207616067,9.088594705,68.30116501,1.5771526,27.24743523,-0.003609334,0.847678665,1.506722299,1.56954282,NA,15.3785489,0.102564103,13.6,386.2745098,256.5826331,29.39045183,23.97843853,6.034009874,63.71411118,595.751634,28.94,18.61198738,151.9607843,3.175023151
"(주)처음앤씨","처음앤씨",1,"무","KOSDAQ",6.07534603108868,609,"BB0",60,"중소기업",0,0.00422397,13021.56757,427886.173,17,81.88235294,10,4,525.2947481,89.25128205,131.1354379,2.465175179,-0.942312112,-0.90318317,2061.504425,938.2978723,94.17588818,4.29786256,19.85138004,2.620087336,79.60288809,20.79207921,21.65019536,0,15.31014112,18.11298777,84.52576305,2.428827394,0,0.026363241,0.713980965,1.48828459,1.58737687,28.07096774,10.14219114,23.78763503,-1.5,194.1050375,185.6377278,36.05415091,29.71775517,0,59.59731544,321.5017065,24.91,-9.557109557,-105.4607509,1.630135477
"(주)처음앤씨","처음앤씨",0,"무","KOSDAQ",6.04973345523196,880,"BB0",63,"중소기업",0,-0.000246392,8848.342246,177030.1016,8,99.125,11,4,914.713217,97.49482877,155.0378567,1.087686317,0.683639793,0.441501104,3743.965517,737.1369295,88.98071625,1.225836869,6.380368098,1.225836869,80.75,16.54144753,19.21263555,0.147727273,9.113636364,10.04257451,90.75,1.912020324,4.977272727,-0.030720257,0.482045455,0.933025404,0.667821159,21.10447761,5.728561783,-87.22300802,2.5,88.65336658,79.42643392,9.506618532,8.079545455,53.74233129,149.5786517,275.3378378,17.11,3.916272789,-157.0945946,0.593742864
"(주)파수닷컴","파수닷컴",1,"유","KOSDAQ",5.36597601502185,314,"BBB+",0,"중소기업",13,-0.00011133,5630.189873,262669.038,44,91.39393939,14,4,434.2,105.4294176,178.041543,7.360120165,8.473782772,9.658484525,1285.064935,477.638191,80.5,0.702247191,2.032520325,0.280898876,60.57998725,40.29166667,34.5505618,7.584448693,15.93371574,20.83333333,76.48183556,0,0,-0.001368446,0.680688337,2.128550075,2.071774976,7.240677966,6.033898305,-19.47565543,31.6,200.8,99.6,46.2459696,31.99490121,0,50.89374379,958.4415584,29.11,51.1299435,137.6623377,7.257203842
"(주)파수닷컴","파수닷컴",1,"유","KOSDAQ",5.44241771052179,330,"BBB+",237,"중소기업",13,0.000604225,9465.714286,95137.19231,33,89.625,15,4,433.8297872,108.2397004,104.5833333,7.116221255,9.429065744,8.879837067,1028.502415,506.75,82.35059761,0.475778547,1.395939086,-0.432525952,61.46149181,50.15936255,34.08304498,9.642207398,14.25106125,18.7250996,76.10673135,0,6.064281383,-0.002264686,0.701030928,2.021862702,1.840764331,9.066666667,5.794486216,-2.335640138,32.3,125.7446809,75.10638298,28.98479647,17.91995149,25.38071066,58.78815911,722.9357798,37.52,54.63659148,21.10091743,6.639511202
"(주)파수닷컴","파수닷컴",0,"유","KOSDAQ",5.53338948872752,411,"BBB+",267,"중소기업",13,-0.001602028,9093.11828,46703.9086,29,96.68965517,16,4,413.4146341,109.3858131,104.1434263,2.538825118,3.361012258,3.317720531,9133.333333,522.7722772,82.32593726,0.355871886,0.602409639,0,51.42439737,66.33511859,59.0747331,22.37643048,13.9761383,21.95868401,63.64743121,0,17.89627465,-0.001199067,0.61577794,1.907959261,1.812903226,6.835135135,6.291044776,-9.687623567,19.6,120.7317073,116.2020906,29.20353982,16.87363039,13.38688086,55.18328735,996,33.38,21.14427861,468,0.195160031
"(주)파수닷컴","파수닷컴",1,"유","KOSDAQ",5.36597601502185,383,"BBB-",297,"중소기업",13,-0.001200637,6825.215054,36095.30108,21,84.04761905,17,4,293.7765205,84.77659154,51.26243305,-29.66603655,-56.62313433,-61.40617097,-381.5848214,228.7469287,72.46268657,1.725746269,1.487138264,1.35261194,24.32079415,130.5970149,116.0447761,46.52560084,18.4691745,52.76119403,35.00522466,0,38.76698015,0.013698744,0.560083595,1.713144227,1.935018051,4.228796844,5.28729963,-33.44216418,-69.8,93.06930693,89.39179632,31.68030814,17.18913271,12.05787781,34.976,2073.333333,-23.11,-299.3834772,2473.333333,-46.93980779
"SK텔레콤(주)","SK텔레콤",1,"유","KOSPI",12.0198695653616,265765,"AAA+",0,"대기업",7,0.000258681,221435.4839,177622.7097,1471,82.40243902,30,4,81.49811673,102.853778,110.2046087,8.359835376,9.694887077,11.91317677,505.4053397,34414.0681,113.0718396,3.44053897,4.602754562,2.757551025,57.80455831,151.4347873,74.74956406,23.85842842,22.83677472,42.84187552,53.30479687,3.457065788,19.8310012,-0.005138244,0.624688635,6.082907857,5.699570182,4.373714063,371.9097222,6.337108971,49231.6,31.23284376,23.04480642,36.99852833,7.132574167,2.939654922,17.0833086,121.7067241,255.74,3605.62276,-6.791865139,11.68261826
"SK텔레콤(주)","SK텔레콤",1,"유","KOSPI",12.0531428867421,279412,"AAA+",4253,"대기업",7,-0.000456556,270168.4492,167708.4225,1471,84.97590361,31,4,88.84141313,103.3836183,107.6356575,8.019369838,10.48322633,12.23410096,451.5425826,36822.75986,112.1732498,2.252822801,3.046334346,1.516738718,58.82947887,149.9061205,73.95192207,26.02838171,19.39896705,35.54704894,54.57265124,5.265829259,22.06588615,-0.011877162,0.614282192,5.712184294,5.542645672,4.68593956,384.4937276,-0.033675526,54096,27.71372855,15.39450696,29.55195105,5.376177069,4.067766699,17.95458693,120.110904,279.13,4030.734767,-14.1528431,10.93210466
